ACNO|BARCODE|CALLNO1|CALLNO2|CALLNO3|TITLE|STATUS|PUBER|AUTHOR_NAME|GMD|PM|BOOK_LAN|SUBJECT
2636.01| | | | | 聖母峰之死| B| 大家| Jon Krakauer| 2| am| chi| 
3538.01| | | | | 少年維特的煩惱| A| 商務| | 3| am| chi| 
P00128| | | | | 和媽媽一起度過的 900 天旅行| W| 漢宇國際| 王一民, 俞賢民| H| am| chi| 輔導
E060441| | | | | Shakespeare in Love| A| Miramax| Shakespeare| E| am| eng| 
2513.01| | | | | 西遊記 ( 五 ) - 歷劫成聖| A| 好讀| 吳承恩| 2| am| chi| 
2666.01| | | | | 我就是忍不住笑了| A| 九州| 侯文詠| 2| am| chi| 中文
2463.01| | | | | 笑林廣記| A| 文國| | 2| am| chi| 
E080267| | | | | Gangsters| A| Usborne| Henry Brook| E| am| eng| 
2682.01| | | | | 傾斜的星球| A| | 麥德琳| 2| am| chi| 
ESN0028| | | | | 1000 Places to See before You Die - Collection 2| A| | | E| gm| eng| Language ( DVD )
3554.01| | | | | 沉睡的森林| A| 獨步文化| 東野圭吾| 3| am| chi| 
5327.01| | | | | 文化研究與文化教育| W| 進一步| | 5| am| chi| 
ESN0065| | | | | The Wizard of Oz| W| | | E| gm| eng| Language ( DVD )
E080202| | | | | Martial Arts for Fun| A| Compass Point Books| Kevin Carter| E| am| eng| 
ESN0281| | | | | Jurassic World (侏羅紀世界)| A| Universal| | E| gm| eng| Language ( DVD )
TRC0245| | | | | 改革高中及高等教育學制 - 對未來的投資| W| | | O| am| chi| Others
ESN0060| | | | | James and the Giant Peach 飛天巨桃歷險記| A| | | E| gm| eng| Language ( DVD )
5561.01| | | | | 原來生命習題還能這麼解？| A| 字畝文化|  人生學校| B| am| chi| 
ESN0271| | | | | THE WALK | A| SONY| | E| gm| ENG| Language ( DVD )
1625.01| | | | | 古文名篇圖示導讀| A| 洪波| | 1| am| chi| 
2412.01| | | | | The Q-Files| A| 突破| 梁科慶, 王心靈, 吳蔚芹| 2| am| chi| 
5087.01| | | | | 如何理財 - 現代家庭和個人財務策劃| W| | 曾慶華| 5| am| chi| 
4498.01| | | | | 青年與學問| A| 三民| 唐君毅| 4| am| chi| 
E080200| | | | | Gymnastics for Fun| A| Compass Point Books| Beth Gruber| E| am| eng| 
E100024| | | | | FIRE| A| Longman| SYLVIA CHALKER| E| am| eng| 
3541.01| | | | | 十三號房| A| 和平圖書| | 3| am| chi| 
1545.01| | | | | 讓人懷念的日文歌曲| A| 中國水利水電| | 1| am| chi| 
5382.01| | | | | 一九八四| A| 人民文學| George Orwell| 5| am| chi| 
ESP0086| | | | | Gladiator| A| Penguin| | E| am| eng| Language
P00051| | | | | 處理衝突| A| 突破| 何玉燕| H| am| chi| 輔導
5285.01| | | | | 中國傳統文化十五講| W| 五南| 龔鵬程| 5| am| chi| 
ESP0198| | | | | The Distortion of Facts in the Digital Age| A| Rosen| Larry Gerber| E| am| eng| Language
E060469| | | | | The Doll's House and Other Stories| A| Penguin| | E| am| eng| 
ESN0242| | | | | Marley & Me ( 馬利與我 )| A| | | E| gm| eng| Language ( DVD )
E060192| | | | | Reflex| W| OUP| Dick Francis| E| am| eng| 
E080080| | | | | The Case of the Missing Gold| A| Simon Spotlight/Nickelodeon| David Lewman| E| am| eng| 
ESP0228| | | | | Population Growth| A| National Geographic Learning| Andrew J. Milson| E| am| eng| Language
P00048| | | | | 影響子女一生的一句話| A| 黎明文化事業股份| | H| am| chi| 輔導
5055.01| | | | | 中國中學生必讀文學名著導讀| W| 智能教育| | 5| am| chi| 
5305.01| | | | | 鳶尾盛開 - 文學評論與作家印象| W| 聯合文學| 張瑞芬| 5| am| chi| 
ESN0134| | | | | Ocean Odyssey| A| | | E| gm| eng| Language ( DVD )
ESN0259| | | | | Treasure Island | A| | | E| gm| eng| Language ( DVD )
2573.01| | | | | 佐賀的超級阿嬤| A| 先覺| 島田洋七| 2| am| chi| 
5250.01| | | | | 世故與天真| W| 三聯| 陳雲| 5| am| chi| 
E060383| | | | | The X Files   7 - Fear| W| Harper Trophy| Les Martin| E| am| eng| 
ESP0182| | | | | Listen Up : Knowing When and When Not  to Speak| A| Rosen| Greg Roza| E| am| eng| Language
E100289| | | | | Red Sky In The Morning| A| Heinemann| Elizabeth Laird| E| am| eng| 
1535.01| | | | | 三國演義 ( 四 ) - 三足鼎立| A| 好讀| 羅貫中| 1| am| chi| 
E060548| | | | | How I Got My Shrunken Head| A| Scholastic| | E| am| eng| 
5406.01| | | | | 思考的藝術 : 52個非受迫性思考錯誤| L| 商周| Rolf Dobelli| 5| am| chi| 
4538.01| | | | | 在荷蘭過日子| W| 龍門書局| 丘彥明| 4| am| chi| 
ESP0213| | | | | Globalization| A| National Geographic Learning| Andrew J. Milson| E| am| eng| Language
4561.01| | | | | 不一樣的故事 - 阿濃愛的故事32 篇| A| 突破| 阿濃| 4| am| chi| 
E080224| | | | | And Then There Were None| A| Harper Collins| Agatha Christie| E| am| eng| 
1494.01| | | | | 阿濃與年輕人的真情對話| L| 突破| 阿濃| 1| am| chi| 
2474.01| | | | | 等待一朵花的名字| W| 聯合文學| | 2| am| chi| 
2430.01| | | | | 邊城| A| 新潮社| 沈從文| 2| am| chi| 
ESN0136| | | | | A History of Christianity| A| | | E| gm| eng| Language ( DVD )
5390.01| | | | | 哲學的教室 2 : 讓人生更淡定的15堂課| A| 臺灣東販| 小川仁志| 5| am| chi| 
ESP0078| | | | | Boy| A| Puffin| Roald Dahl| E| am| eng| Language
E060459| | | | | Dr. Jekyll and Mr. Hyde| A| Penguin| | E| am| eng| 
2633.01| | | | | 回到秦朝大冒險 : 穿衣吃飯，全部從頭學| A| 時報| 張述| 2| am| chi| 
E100535| | | | | Out of This World| A| Kingfisher| | E| am| eng| 
ESN0023| | | | | Albert Einstein| A| | | E| gm| eng| Language ( DVD )
3528.01| | | | | 水滸傳 ( 四 ) - 煞星縱橫| A| 好讀| 施耐庵| 3| am| chi| 
E100069| | | | | The Glory Boys| A| Collins| Gerald Seymour| E| am| eng| 
3512.01| | | | | 香港人‧不高興| W| 次文化堂| 吳志森| 3| am| chi| 
2326.01| | | | | 小王子| A| 志文| | 2| am| chi| 
E060322| | | | | The Canterville Ghost and Other Stories| A| Longman| Oscar Wilde| E| am| eng| 
E080107| | | | | Freak The Mighty| A| Scholastic| Rodman Phibrick| E| am| eng| 
E100050| | | | | Six Great Scientists| A| Macmillan| Rosemary Border| E| am| eng| 
1419.01| | | | | 鬼谷子兵法| W| 漢宇國際| | 1| am| chi| 
2429.01| | | | | 機器人咬人 : 專家教你戰勝機器人的保命技巧| A| 木馬文化| Daniel H. Wilson| 2| am| chi| 
4628.01| | | | | 智者與仁者的交會| A| 八旗文化| 托爾斯泰等| 4| am| chi| 
5500.01| | | | | 一一風荷舉| A| 作家| 張曉風| 5| am| chi| 
4584.01| | | | | 美言一百| A| 突破| 阿濃| 4| am| chi| 
2739.01| | | | | 神解！一學必會．中3數學| A| 和平國際文化有限公司| 監修者簡介; 山內惠介;| 2| am| chi| 
ESN0212| | | | | X-Men Origins : Wolverine| A| | | E| gm| eng| Language ( DVD )
ESP0144| | | | | Galileo  : Astronomer and Physicist| A| Compass Point Books| Robin S. Doak| E| am| eng| Language
E060018| | | | | Return To Thetha| A| Witman| Jack Nolan| E| am| eng| 
E060334| | | | | Reflex| W| Oxford| Dick Francis| E| am| eng| 
5409.01| | | | | 安妮日記| A| 湖南少年兒童| Anne Frank| 5| am| chi| 
E100011| | | | | Meteor| W| OUP| John Wyndham| E| am| eng| 
5303.01| | | | | 歲月蒼茫 - 我與兒子王丹| A| 明報| 王凌雲| 5| am| chi| 
5434.01| | | | | 歐赫貝的祕密 1 - 科內流士的旅行| W| 天下雜誌| Francois Place| 5| am| chi| 
2655.01| | | | | 北歐諸神皆可萌| A| | 米絲肉雞| 2| am| chi| 中文
ESP0265| | | | | Boys Who Rocked the World| A| Aladdin, Beyond Words| Michelle Roehm McCann| E| am| eng| Language
4620.01| | | | | 小屋| A| 寂寞| 威廉.保羅.楊| 4| am| chi| 中文
4581.01| | | | | 樂活‧散心文化導賞 - 中上環篇| W| 知出版| 駱思嘉| 4| am| chi| 
ESP0050| | | | | Gladiator| A| Penguin| | E| am| eng| Language
E100187| | | | | The Three Musketeers| A| Macmillan| Alexandre Dumas| E| am| eng| 
5260.01| | | | | 孔子的智慧| A| 天地| | 5| am| chi| 
2329.01| | | | | 我的父親母親| W| 立緒| | 2| am| chi| 
3432.01| | | | | 爸爸的畫   三| A| 三聯| 豐陳寶, 豐一吟| 3| am| chi| 
5368.01| | | | | 正義 : 一場思辨之旅| A| 雅言文化| Michael J. Sandel| 5| am| chi| 
E060239| | | | | A Journey Through| A| Macmillan| Alan Booth| E| am| eng| 
4623.01| | | | | 看見他人困境的理解能力| A| 麥田| 萊斯| 4| am| chi| 
1395.01| | | | | 青鳥| B| 中國婦女| | 1| am| chi| 
P00148| | | | | 逆勢翻升| A| 梅霖文化| Al Siebert| H| am| chi| 輔導
4564.01| | | | | 盛世| A| OUP| 陳冠中| 4| am| chi| 
4573.01| | | | | 青少年禮儀故事| W| 香港中華禮儀振興會| 潘禮美| 4| am| chi| 
E100532| | | | | Out of This World| A| Kingfisher| | E| am| eng| 
1449.01| | | | | 超凡學生３ - 班長消失| A| 阿湯圖書| 袁兆昌| 1| am| chi| 
E080130| | | | | Jacqueline Hyde| A| Yearling Books| Robert Swindells| E| am| eng| 
E080280| | | | | The Phantom of the Opera| A| Penguin| Gaston Leroux| E| am| eng| 
ESP0103| | | | | The Speckled Band and Other Stories| B| Macmillan| Sir Arthur Conan Doyle| E| am| eng| Language
ESP0201| | | | | Taylor Swift| A| Weigl| Anita Yasuda| E| am| eng| Language
1582.01| | | | | 全世界都在玩的科學遊戲 ( 上 )| A| 宇河文化| | 1| am| chi| 
3627.01| | | | | 翅膀的鈍角| A| 匯智| 劉偉成| 3| am| chi| 
ESN0156| | | | | 5000 Years of Magnificent - World Wonders beyond Time| A| | | E| gm| eng| Language ( DVD )
5464.01| | | | | 蕭紅小說散文精選| A| 商務| 蕭紅| 5| am| chi| 
ESN0262| | | | | The Maze Runner : Scorch Trials ( 移動迷宮 : 焦土試煉 )| A| 得利| | E| gm| eng| Language ( DVD )
4629.01| | | | | 香港人應該思考的40個哲學問題| A| 商務| 曾瑞明| 4| am| chi| 
P00161| | | | | 解開抑鬱| A| 突破| | H| am| chi| 輔導
1563.01| | | | | 我才不要回家| A| 青桐社| 君比| 1| am| chi| 
E080115| | | | | My Friend's A Werewolf| A| Corgi Yearling Books| Pete Johnson| E| am| eng| 
4089.01| | | | | 獅子山下 - 人, 情, 話| A| | 林超榮| 4| am| chi| 
5348.01| | | | | 傷心咖啡店之歌| W| 九歌| 朱少麟| 5| am| chi| 
5243.01| | | | | 目送| A| 皇冠| 龍應台| 5| am| chi| 
5118.01| | | | | 中國皇家衛隊| W| 和平| 王鏡輪| 5| am| chi| 
E080119| | | | | Charlie is a Chicken| A| Harper Trophy| Jane Denitz Smith| E| am| eng| 
1501.01| | | | | 牧羊的孩子| A| 福地| 徐瑞蓮| 1| am| chi| 
E080219| | | | | The Last Lecture| A| Hodder| Randy Pausch, Jeffrey Zaslow| E| am| eng| 
5369.01| | | | | 當你覺得自己不夠好 : 日本人氣和尚教你更出色的53個練習| A| 圓神| 小池龍之介| 5| am| chi| 
2678.01| | | | | 通學| A| | 廣東話資料館| 2| am| chi| 
ESP0043| | | | | Why Am I Afraid to Tell You Who I Am| A| Thomas More| John Powell| E| am| eng| Language
2629.01| | | | | 為甚麼靜香一定要嫁給大雄 : 從多啦 A 夢發覺日常生活不思議| A| 尖端| 中川右介| 2| am| chi| 
E060087| | | | | Experiences of Terror| W| Collins| | E| am| eng| 
ESP0042| | | | | Making Friends| A| Media Masters| Andrew Matthews| E| am| eng| Language
2564.01| | | | | 傑出人物故事| A| 洪波| | 2| am| chi| 
1650.01| | | | | 青蛙樂園| A| | 百田尚樹| 1| am| chi| 
5528.01| | | | | 為什麼法國高中要考哲學？| A| 大是文化| ?本尚志| 5| am| chi| 
3370.01| | | | | 圖解哲學| A| 世茂| | 3| am| chi| 
E080067| | | | | All for Love| W| Mammoth| Miriam Hodgson| E| am| eng| 
E100495| | | | | Football Fever 2| A| Corgi| Tomy Brandman| E| am| eng| 
3451.01| | | | | 天氣改變了歷史| A| 究竟| Laura Lee| 3| am| chi| 
2509.01| | | | | 假如你能看穿我的心| A| 商智文化| James Borg| 2| am| chi| 
ESN0222| | | | | Jim The James Foley Story ( 戰地記者 )| A| | | E| gm| eng| Language ( DVD )
5276.01| | | | | 沙田山居| A| 商務| | 5| am| chi| 
3564.01| | | | | 給青少年的哈佛人生哲理| A| 婦女與生活社| 王愛民| 3| am| chi| 
1410.01| | | | | 中國古代神話| B| 商務| 袁珂| 1| am| chi| 
E060378| | | | | The X Files   3 - Tiger, Tiger| A| Harper Trophy| Les Martin| E| am| eng| 
2417.01| | | | | 夜巡老師| W| 文經社| 水谷修| 2| am| chi| 
4421.01| | | | | 標竿人生| A| 使者| Rick Warren| 4| am| chi| 
3664.01| | | | | 現代文課外讀本 卷三| W| 洪波| | 3| am| chi| 
E060500| | | | | 1984| A| Penguin| | E| am| eng| 
ESP0256| | | | | Stranded| A| Puffin| Jeff Probst, Chris Tebbetts| E| am| eng| Language
2378.01| | | | | 鋼琴女孩| A| 山邊| 馬翠蘿| 2| am| chi| 
P00172| | | | | 多元智能 : 創造繽紛跳躍的學習空間| A| 成長綜合服務中心| 趙志裕| H| am| chi| 輔導
2438.01| | | | | 幾米故事的開始| W| 大塊文化| 幾米| 2| am| chi| 
ESP0087| | | | | The Last Polar Bears| A| Puffin| Harry Horse| E| am| eng| Language
1019.02| | | | | 青果二集| A| | 阿濃| 1| am| chi| 
P00131| | | | | 有效提升孩子人際力| A| 新手父母| 佐佐木正美| H| am| chi| 輔導
P00033| | | | | 真心留言簿| A| ICAC| | H| am| chi| 輔導
4437.01| | | | | 大近視 - 袁兆昌的文化蒙太奇| W| 點出版| 袁兆昌| 4| am| chi| 
E100523| | | | | Like Father, Like Son ?| A| Kingfisher| | E| am| eng| 
5328.01| | | | | 站錯邊| W| 花千樹| 馬家輝| 5| am| chi| 
3327.01| | | | | 中學文選精讀| W| 洪波| 莊之明, 孫駿毅| 3| am| chi| 
2530.01| | | | | 不瘦人| A| 天苑文化| 莊柔玉| 2| am| chi| 
1259.01| | | | | 中國兒童文學精品文藝 - 小說卷   6| W| 洪波| | 1| am| chi| 
4638.01| | | | | 出發點1979~1996| A| | 宮崎駿| 4| am| chi| 
E060218| | | | | Tales of Mystery and Imagination| A| Longman| Edgar Allan Poe| E| am| eng| 
2606.01| | | | | 中學習作初稿| A| 洪波| | 2| am| chi| 
ESP0024| | | | | Cantonese Culture| B| Asia 2000| Shirley Ingram, Rebecca S.Y. Ng| E| am| eng| Language
ESP0127| | | | | The Little Prince| A| Penguin| Antoine de Saint-Exupery| E| am| eng| Language
E100492| | | | | Abomination| W| Corgi Yearling| Robert Swindells| E| am| eng| 
2661.01| | | | | 我不想做人(2)| A| | 孤泣| 2| am| chi| 
ESP0115| | | | | About a Boy| A| Penguin| Nick Hornby| E| am| eng| Language
E060001| | | | | Tales of Mystery and Imagination| A| Longman| Edgar Allan Poe| E| am| eng| 
2568.01| | | | | 快樂鬧學去| A| 皇冠| 三毛| 2| am| chi| 
2731.01| | | | | 原來科學家這樣想3| A| 快樂文化  | 汪詰  | 2| am| chi| 
5238.01| | | | | 江南江北 : 唐詩| W| 時報| | 5| am| chi| 
4462.01| | | | | 小和尚開課了: 49個修復心靈的小領悟| A| 圓神| 釋戒嗔| 4| am| chi| 
3619.01| | | | | 《維港故事 : 獨掌難鳴》| A| 活學文教| 葉國華| 3| am| chi| 
2586.01| | | | | 這些人，那些事| A| 圓神| 吳念真| 2| am| chi| 
E080194| | | | | Dr. Jekyll and Mr. Hyde| A| OUP| Robert Louis Stevenson| E| am| eng| 
E060006| | | | | Asian Animals in Danger| A| Jing Kung| Jane E. J. Whitten| E| am| eng| 
ESN0215| | | | | Diary of a Wimpy Kid| A| | | E| gm| eng| Language ( DVD )
ESP0233| | | | | Pollution| A| National Geographic Learning| Andrew J. Milson| E| am| eng| Language
C17272| | | | | 生活中不能沒有愛| A| | | B| am| chi| 
5460.01| | | | | 朝密室射擊| A| 尖端| 東川篤哉| 5| am| chi| 
P00102| | | | | Help ! : 傾聽孩子們心靈的呼喊| A| 稻田| 青木和雄| H| am| chi| 輔導
E060179| | | | | Christina's Ghost| A| Scholastic| Betty Ren Wright| E| am| eng| 
3448.01| | | | | 藝術是唯一的理由| A| 次文化| 文潔華| 3| am| chi| 
4640.01| | | | | 給孩子的歷史地理| A| | 唐曉峰| 4| am| chi| 
ESP0107| | | | | The Witches| A| Puffin| Roald Dahl| E| am| eng| Language
E100471| | | | | Prince Caspian| A| HarperTrophy| C.S.Lewis| E| am| eng| 
4399.01| | | | | 童年往事 - 香港山村舊俗| A| 花千樹| 陳雲| 4| am| chi| 
1483.01| | | | | 細說心語| W| 突破| 阿濃| 1| am| chi| 
5266.01| | | | | 文明時代的暴力反思| A| 法住| | 5| am| chi| 
E060189| | | | | The Adventures of Huckleberry Finn| A| Longman| Mark Twain| E| am| eng| 
E100082| | | | | Cry Freedom| A| OUP| Rowwna Akinyemi| E| am| eng| 
E100585| | | | | Spellbound| A| Kingfisher| | E| am| eng| 
1541.01| | | | | 時間的故事| A| 博雅書屋| Chris Turney| 1| am| chi| 
E080058| | | | | Haunted Campers| A| Troll| Allan Zullo| E| am| eng| 
ESP0227| | | | | Health| A| National Geographic Learning| Andrew J. Milson| E| am| eng| Language
E060244| | | | | A Journey Through Japan| A| Macmillan| Alan Booth| E| am| eng| 
E100198| | | | | The Wall around the World and Other Science Fiction Stories| W| CUP| | E| am| eng| 
2486.01| | | | | 驕陽引路| W| 突破| | 2| am| chi| 
E080226| | | | | American Crime Stories| A| OUP| | E| am| eng| 
ESN0103| | | | | Like Mike| A| | | E| gm| eng| Language ( DVD )
5469.01| | | | | 文化苦旅| A| 爾雅| 余秋雨| 5| am| chi| 
ESP0250| | | | | Caring for Anomals| A| Raintree| Liz Gogerly| E| am| eng| Language
E080289| | | | | A Time to Kill| A| Penguin| John Grisham| E| am| eng| 
ESP0123| | | | | Animal Farm| A| Penguin| George Orwell| E| am| eng| Language
E080184| | | | | The Angel of Nitshill Road| A| Mammoth| Anne Fine| E| am| eng| 
E080018| | | | | Operation Gadgetman| A| Yearling| Malorie Blackman| E| am| eng| 
1513.01| | | | | 成語幽默故事精選集| W| 采竹| | 1| am| chi| 
2724.01| | | | | 長生石的守護者| A| 小麥田出版| 陳郁如| 2| am| chi| 
DVD0462| | | | | Mr. Vampire| A| | | D| gm| eng| 
5518.01| | | | | 祈念之樹| A| | 東野圭吾| 5| am| chi| 
2148.01| | | | | 醫者孩子心| A| 皇冠| | 2| am| chi| 
E100545| | | | | Myths and Legends| A| Kingfisher| Anthony Horowitz| E| am| eng| 
5426.01| | | | | 福爾摩斯先生收| A| 臉譜| Michael Robertson| 5| am| chi| 
E100580| | | | | Spellbound| A| Kingfisher| | E| am| eng| 
1522.01| | | | | 雲雀為誰歌唱| W| 洪波| | 1| am| chi| 
3689.01| | | | | 伍家謙，交俾你講體育| W| 白卷| 伍家謙| 3| am| chi| 
E100539| | | | | Mystifying| A| Kingfisher| | E| am| eng| 
4626.01| | | | | 60天征服文言文 論語| A| 聯合| 施紅紅| 4| am| chi| 
E100521| | | | | Like Father, Like Son ?| A| Kingfisher| | E| am| eng| 
4394.01| | | | | 林語堂談人生| A| 哈爾濱| 林語堂| 4| am| chi| 
5304.01| | | | | 我清醒的時候是你的深夜| A| 明報| 王丹| 5| am| chi| 
5385.01| | | | | 香港歷史散步| A| 商務| | 5| am| chi| 
E060437| | | | | Building A Website| A| DK| Tim Worsley| E| am| eng| 
3716.01| | | | | 悲慘世界| A| 志文| Victor M. Hugo| 3| am| chi| 
1266.01| | | | | 100 種世界地圖的有趣看法| W| 如何| | 1| am| chi| 
3515.01| | | | | 翹首振翅 - 香港機師手記 II| W| 經濟日報| | 3| am| chi| 
5542.01| | | | | 我還有一片風景要完成| A| 湖南文藝| 張曉風| 5| am| chi| 
4540.01| | | | | 字解日本 : 鄉土料理| A| 廣西師笵大學| 茂呂美耶| 4| am| chi| 
3501.01| | | | | 奇趣科普知識‧人體篇| B| 洪波| | 3| am| chi| 
ESN0266| | | | | BATKID BEGINS (蝙蝠仔願望成真)| A| 得利| | E| gm| eng| Language ( DVD )
ESP0108| | | | | A Christmas Carol| A| OUP| Charles Dickens| E| am| eng| Language
5306.01| | | | | 中國文明的反思| A| 新世紀| 蕭建生| 5| am| chi| 
E080097| | | | | Outstanding Short Stories| A| Penguin| | E| am| eng| 
E100483| | | | | The Lion, The Witch and the Wardrore| A| Collins| C.S.Lewis| E| am| eng| 
3589.01| | | | | 請用文明來說服我| A| 天地| 龍應台| 3| am| chi| 
ESN0251| | | | | Zootopia ( 優獸大都會 )| A| | | E| gm| eng| Language ( DVD )
E060134| | | | | Treasure Island| A| Longman| Robert Louis Stevenson| E| am| eng| 
ESP0019| | | | | Striker| A| Penguin| Peter and Karen Viney| E| am| eng| Language
1580.01| | | | | 給年輕人讀的三十六計| A| 西北國際文化| | 1| am| chi| 
ESN0181| | | | | Revolutionary Road| A| | | E| gm| eng| Language ( DVD )
E060225| | | | | The Bride Price| A| OUP| Buchi Emecheta| E| am| eng| 
E060507| | | | | The Locked Room and Other Horror Stories| A| Penguin| | E| am| eng| 
4411.01| | | | | 尋找一首詩| W| 好讀| 王竹語| 4| am| chi| 
1631.01| | | | | 中國古代醫學家| A| 智高| 朱抗| 1| am| chi| 
1434.01| | | | | 奇趣科普知識 - 時間篇| A| 洪波| | 1| am| chi| 
3565.01| | | | | 給自己的第一份青春禮物| A| 博雅書屋| 林繼生| 3| am| chi| 
2642.01| | | | | 撒哈拉歲月| A| 皇冠| 三毛| 2| am| chi| 
E060473| | | | | The Time Machine| A| Penguin| | E| am| eng| 
E100096| | | | | The Silver Sword| A| Heinemann| Ian Serraillier| E| am| eng| 
E100030| | | | | Madam, Will You Talk?| W| Hutchinson| Mary Stewart| E| am| eng| 
E080056| | | | | The Journey of Allen Strange| A| A Minstrel Book| Diana G. Gallagher| E| am| eng| 
E100567| | | | | Ribticklers !| A| Kingfisher| | E| am| eng| 
5351.01| | | | | 一次看懂四書 : 孔子教你做人與處世| W| 時報文化| 劉君祖| 5| am| chi| 
E080250| | | | | Out og This World| A| Kingsfisher| | E| am| eng| 
3163.01| | | | | 影響中國的 100 個戰爭| B| 好讀| 陳耔伶| 3| am| chi| 
4477.01| | | | | 回憶錄| A| 上海社會科學院| Conan Doyle| 4| am| chi| 
3487.01| | | | | 陳耀南讀孔子| A| 天地| | 3| am| chi| 
ESP0068| | | | | 1984| A| Penguin| George Orwell| E| am| eng| Language
E060514| | | | | Pirates of the Caribbean - Dead Man's Chest| A| Penguin| | E| am| eng| 
1459.01| | | | | 午夜藍氣球| A| 突破| 費寶翎| 1| am| chi| 
2688.01| | | | | 超時空之謎| A| | 麥德琳| 2| am| chi| 
ESN0032| | | | | The Twilight Saga - New Moon ( 吸血新世紀 2 - 新月傳奇 )| A| | | E| gm| eng| Language ( DVD )
ESN0089| | | | | Pride & Prejudice 傲慢與偏見| A| | | E| gm| eng| Language ( DVD )
ESN0244| | | | | The Hunger Games ( 飢餓遊戲 )| A| | | E| gm| eng| Language ( DVD )
4398.01| | | | | 我執| A| 廣西師範大學| 梁文道| 4| am| chi| 
P00055| | | | | 我該對孩子說甚麼 - 21 世紀好爸爸箴言| A| 突破| 蔡元雲, 區祥江| H| am| chi| 輔導
2644.01| | | | | 練習簿| A| 突破| 董啟章| 2| am| chi| 
4645.01| | | | | 被消失的人．情．味| A| | 周淑屏| 4| am| chi| 
ESP0035| | | | | Genetic Engineering| A| Evans Brothers Ltd| Sally Morgan| E| am| eng| Language
1639.01| | | | | 星際大戰 : 絕地大反攻| A| 尖端| James Kahn| 1| am| chi| 
P00129| | | | | 從生存到生活| A| | | H| am| chi| 輔導
P00108| | | | | 不必大吼大叫也能教好孩子| A| 奧林文化| Philipp A. Schoeller, Jerzy May| H| am| chi| 輔導
P00149| | | | | 望子成富| A| 御書房| Locke Brain| H| am| chi| 輔導
5543.01| | | | | 生死教育講呢D| A| 明窗| 伍桂麟, 鍾一諾, 梁梓敦| 5| am| chi| 
3692.01| | | | | 成長的哲學課 - 自我與人生的思考| A| 商務| 梁光耀| 3| am| chi| 
1446.01| | | | | 絕對小孩| W| 時報| 朱德庸| 1| am| chi| 
ESP0126| | | | | The Little Prince| A| Penguin| Antoine de Saint-Exupery| E| am| eng| Language
E100424| | | | | The Boxes| A| Puffin| Sleator| E| am| eng| 
5009.02| | | | | 古今巧聯妙對趣話| W| | 朱恪超| 5| am| chi| 
E060274| | | | | A Very Good Way of Making Money| A| Edward Arnold| Simon Haines| E| am| eng| 
4296.01| | | | | 古代中國文化講義| A| 三民| 葛兆光| 4| am| chi| 
5364.01| | | | | 給年輕人讀的莊子| W| 西北國際文化| 莊周| 5| am| chi| 
3188.01| | | | | 101 個有趣的哲學問題| W| 究竟| Martin Cohen| 3| am| chi| 
3663.01| | | | | 現代文課外讀本 卷二| W| 洪波| | 3| am| chi| 
4600.01| | | | | 醫學倫理| A| OUP| Tony Hope| 4| am| chi| 
3702.01| | | | | 孩子你慢慢來| A| 天地| 龍應台| 3| am| chi| 
4446.01| | | | | 落筆驚風雨 - 我的一生與國民黨的點滴| A| 遠流| 周德偉| 4| am| chi| 
4595.01| | | | | 傾城之戀| A| 皇冠| 張愛玲| 4| am| chi| 
ESN0037| | | | | West Side Story| A| | | E| gm| eng| Language ( DVD )
ESP0192| | | | | Persuasive Paragraphs| A| Weigl Publishing Inc.| Frances Purslow| E| am| eng| Language
5291.01| | | | | 一點小信仰| W| 大塊| Mitch Albom| 5| am| chi| 
E080049| | | | | The Mystery of The Missing Man| A| Mammoth| Enid Blyton| E| am| eng| 
4647.01| | | | | 被消失的人．情．味| A| | 周淑屏| 4| am| chi| 
5172.01| | | | | 我的父親母親 ( 父 )| W| 立緒文化| 魯迅 等| 5| am| chi| 
4576.01| | | | | 作文大特蒐 ( 1 )| A| 張老師| 季小兵| 4| am| chi| 
3481.01| | | | | 圖說天下 - 論語| W| 吉林| | 3| am| chi| 
2481.01| | | | | 語文公案 100| W| 洪波| | 2| am| chi| 
ESN0020| | | | | The Client| A| | | E| gm| eng| Language ( DVD )
4416.01| | | | | 圖解會計學| W| 易博士文化| 黃士剛| 4| am| chi| 
E080104| | | | | The Hardy Boys Case File: Law of The Jungle| W| An Archway Paperpacks| Franklin W. Dixon| E| am| eng| 
1464.01| | | | | 動物生存三十六計| W| 洪波| 周京寧, 王路| 1| am| chi| 
5029.04| | | | | 新愛的教育| W| | 阿濃| 5| am| chi| 
4592.01| | | | | 一天一點笛卡兒| A| 木馬文化| 小川仁志| 4| am| chi| 
2447.01| | | | | 五千年中華文化大視野 - 明清藝術| W| 明窗| | 2| am| chi| 
P00142| | | | | 做孩子的心靈捕手| A| 世茂| 阿部秀雄| H| am| chi| 輔導
ESP0253| | | | | Protecting and Caring for Children| A| Raintree| Louise Spilsbury| E| am| eng| Language
2507.01| | | | | 中國哲理寓言大全| W| 商務| 嚴北溟, 嚴捷| 2| am| chi| 
E100546| | | | | Myths and Legends| A| Kingfisher| Anthony Horowitz| E| am| eng| 
E080249| | | | | Mystifying| A| Kingsfisher| | E| am| eng| 
E060098| | | | | The Sound of Music| W| Oxford| Maria Von Trapp| E| am| eng| 
ESP0051| | | | | Gladiator| A| Penguin| | E| am| eng| Language
